fips_code,County,StateName,White_Pct,total_pop,Pct_Margin,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,less_than_hs,only_hs,associates,bachelor_or_more,less_than_hs_pct,only_hs_pct,associates_pct,bachelor_or_more_pct,male,female,WA_male,WA_female,BA_male,BA_female,IA_male,IA_female,AA_male,AA_female,NA_male,NA_female,TOM_male,TOM_female,WAC_male,WAC_female,BAC_male,BAC_female,Young_Pct,Mid_Pct,Old_Pct,Elderly_Pct,,,Predicted margin,,
37115,Madison County,NorthCarolina,0.96,21755,26.68,10379,5026,5192,161,10023,4466,5379,178,10966,3899,6735,332,2229,4678,4136,4213,14.6,30.7,27.1,27.6,182366,190543,128106,128722,43203,49506,1491,1507,4532,5446,197,195,4837,5167,132437,133271,45496,52062,0.2345141309,0.2025019357,0.2239401858,0.1735869144,,,4611.060861,,2836
37117,Martin County,NorthCarolina,0.552,22671,0.43,12541,6539,5957,45,12541,6514,5963,64,11852,5814,5874,164,2767,5712,5301,2788,16.7,34.5,32,16.8,79574,81426,71287,73714,4938,4213,887,691,1036,1383,166,122,1260,1303,72438,74874,5539,4847,0.2149094173,0.2012812143,0.2291904684,0.1720254611,,,-235.402192,,60
37111,McDowell County,NorthCarolina,0.9233761692,45756,51.47,18386,6571,11534,281,17953,6006,11732,215,19557,4645,14517,395,5283,10909,10901,5498,16.2,33.5,33.4,16.9,22798,22958,20896,21354,1102,814,201,185,247,241,16,7,336,357,21212,21687,1290,1011,0.2289771714,0.2162364009,0.2118668629,0.1612270376,,,8809.449009,,9872
37119,Mecklenburg County,NorthCarolina,0.5733512495,1110356,-30.89,410817,253958,153848,3011,445062,270705,170490,3867,461834,292258,154303,15273,69881,122374,196799,315345,9.9,17.4,27.9,44.8,533670,576686,313613,323011,166548,199598,4498,4464,35492,34562,515,579,13004,14472,324625,335053,174935,209174,0.3062937341,0.2290156464,0.1645360645,0.0869579127,,,-196211.2471,,-137955
37121,Mitchell County,NorthCarolina,0.963,15000,59.48,7846,2238,5499,109,7673,1810,5778,85,7948,1585,6225,138,1721,3744,3580,2091,15.5,33.6,32.1,18.8,11308,10555,5516,5270,5496,5002,75,53,92,89,7,9,122,132,5625,5383,5557,5085,0.2086270991,0.2027624664,0.2251313934,0.2031149853,,,3989.092114,,4640
37123,Montgomery County,NorthCarolina,0.765,27271,26.42,11210,4926,6155,129,11178,4689,6389,100,11449,4108,7070,271,3933,6628,5637,2795,20.7,34.9,29.7,14.7,106394,120092,39387,41035,61404,72952,372,393,3607,3817,108,107,1516,1788,40607,42412,62343,74094,0.237130832,0.2015180402,0.2061225224,0.1536386201,,,3217.903831,,2962
37125,Moore County,NorthCarolina,0.8310765266,100880,30.25,45328,17624,27314,390,46044,16371,29336,337,47746,16148,30273,1325,6633,15230,21771,25502,9.6,22,31.5,36.9,48765,52115,40784,43055,5573,6528,514,501,719,876,90,80,1085,1075,41749,43981,6157,7134,0.2029761427,0.1886743783,0.2033487338,0.2248501038,,,21323.45326,,14125
37127,Nash County,NorthCarolina,0.546978727,94298,0.18,47118,23099,23728,291,48235,24214,23769,252,46903,23024,23142,737,9439,21746,19963,13505,14.6,33.6,30.9,20.9,45143,49155,25239,26340,18067,20844,471,506,461,444,77,20,828,1001,25943,27148,18603,21555,0.2423663518,0.2132408043,0.2097999894,0.1373898359,,,-1815.532571,,118
37129,New Hanover County,NorthCarolina,0.8220903899,234473,4.11,100665,49145,50544,976,102067,48038,52792,1237,108737,50219,54665,3853,10768,32914,49018,59967,7.1,21.6,32.1,39.3,111563,122910,92287,100471,14565,16930,594,714,1657,2028,117,125,2343,2642,94383,102781,15770,18351,0.3037974684,0.2024242878,0.1904151999,0.1367388211,,,14034.70099,,4446
37131,Northampton County,NorthCarolina,0.4036339373,19483,-26.34,10618,6903,3671,44,10719,7210,3474,35,9761,6113,3556,92,3088,5964,4052,1925,20.5,39.7,27,12.8,9537,9946,3915,3949,5405,5744,67,63,29,30,3,3,118,157,4022,4077,5482,5844,0.2162983801,0.1953582286,0.2276192205,0.1916602387,,,-1816.997078,,-2557
37133,Onslow County,NorthCarolina,0.7618496701,197938,35.89,50203,19499,30278,426,50353,18115,31695,543,55364,17156,36342,1866,9045,30077,42008,22050,8.8,29.2,40.7,21.4,108732,89206,83891,66908,16609,14600,1038,827,2033,2419,325,278,4836,4174,88240,70619,19266,17014,0.4388373342,0.1540461034,0.1214680135,0.07335685252,,,1553.480063,,19186
